Movie Title,Storyline
Plan B,"When a one night stand with her awkward neighbor leaves her pregnant, a young woman decides to quickly sleep with a successful businessman and tell him he's the father of her unborn baby."
The Traveller,"A college student's life changes when he meets a powerful woman after his grandfather's corpse is stolen. As he uncovers a dark conspiracy, he learns he belongs to a hidden group of people with supernatural abilities."
Dead Wrong,A narcissist concocts a get-rich-quick scheme that ignites a violent chain reaction and overwhelms the lives of those around him.
The Curse of the Necklace,Family navigates turbulent 1960s dynamics. Mom separates from alcoholic husband. Daughters grapple with changes. Dad's antique gift hides dark force that imperils all.
She's Obsessed with My Husband,"A woman moves in next door to her ex high school boyfriend, he's now married, and she schemes to end his marriage so she can become his wife instead."
Operation Valentine,"Showcasing the indomitable spirits of the Indian Air Force heroes on the frontlines and the challenges they face during one of the biggest, fiercest aerial attacks that India has ever seen."
With or Without You,"A mother, a daughter and a stranger from another land are thrown together on an unexpected road trip that takes them on a journey of love, humour and redemption."
Succubus,A group of young people arrives to a remote village where they encounter an ancient spirit - a succubus - that can take human disguise. It feeds on one's deepest fears and brings out the darkest side in people.
Continental Split,"When a fault threatens to split the U.S., a desperate team of seismologists and government agents race to prevent disaster as the clock ticks down."
Pukpok,"Jennilyn, a hardworking secretary at a construction site hides a lot of dark secrets. When she seeks the help of the newest employee, her plans start to collapse."
Castration Movie Anthology I: Traps,Trans sex worker Michaela mentors her newly-out friend Adeline while pursuing motherhood in Vancouver. Production assistant Turner slides toward inceldom as his relationship falls apart.
A Game of Two Halves,"When Sanjay, a young British student finds himself in India teaching football to poor children he is unaware of the journey of self-discovery he is about to embark on."
In Our Blood,"Filmmaker Emily Wyland reunites with estranged mother for documentary. When mother disappears, Emily and cinematographer Danny pursue clues to her whereabouts amidst traces of her past addictions."
Lollipop,"Molly, a young woman released from prison, struggles to regain custody of her children. When she bumps into her childhood friend Amina the two women soon realize their only chance is to join forces and take destiny into their own hands."
Do Not Enter,"Two friends, aspiring YouTubers, trespass where they shouldn't. Their adventure takes a terrifying turn as they confront an unimaginable horror."
The Moogai,"A young Aboriginal couple brings home their second baby. What should be a joyous time takes a sinister turn, as the baby's mother starts seeing a malevolent spirit she is convinced is trying to take her baby."
Wanted: Girlfriend,Sheina Yu and Reina Castillo date a man who likes to have sex anytime and anywhere. See who can keep up with his strong sexual appetite and be his girlfriend.
Cat and Dog,"When a cat and a dog escape their cages in the airport, their owners must work together to recover their prized pets."
Harbin,Follows Korean independence activists who launched a daring attack in Harbin against the Japanese to gain their country's independence.
Kuttante Shinigami,Kuttan lives in Thingalur village. His family struggles impact his life.
Thiru.Manickam,"A man who is getting chased by everyone for doing good, yet he overcomes opposition. Among everyone who is trying to survive, this man wants to live. Shows how Manikkam becomes Thiru Manikkam"
Unpredictable,"A modern thriller filled with intense sexual tension. Betrayal, jealousy, revenge and lies. A plot full of tension and twists of events."
The Lonely Ones,"When a young couple wake up one morning to discover the world outside their apartment has vanished, they must figure out a way to survive. But are they as alone as they think?"
Golden Kamuy,"In the early 20th century in Hokkaido, Japan, a treasure hunt between various parties takes place for a hidden stash of gold."
Bloody Mary,"Two witches' Blood Moon ritual requires a male sacrifice, but tonight's chosen one disrupts their plans. As they face unexpected dangers and personal demons, their bond proves more powerful than magic."
Crackcoon,"A raccoon ingests a discarded synthetic drug and mutates into a vicious killer. It rampages through a mountain community, threatening campers, tourists, and residents. No one is safe from the monstrous raccoon's violent onslaught."
Stolen,"A young woman's struggle to defend her indigenous heritage in a world where xenophobia is on the rise, climate change is threatening reindeer herding, and young people choose suicide in the face of collective desperation."
Laws of Man,"At the dawn of the Cold War, two U.S. marshals pursue a wanted murderer in the deserts of Nevada."
Karma,"Stranded in a remote graveyard, special investigation officer Amar Patnaik uncovers chilling secrets, only to realise he's caught in a gripping tale of Karma and Fate"
The Lost Tiger,"Adopted by a wrestler kangaroo family, Teo's life changes when visions lead him to his roots. He embarks on an epic journey to save his homeland from destruction."
